MEDIA OUTLET,MEDIA TYPE,ESTIMATED AUDIENCE SIZE,REGION,STATE,Main State,Percentage,Other Key States,Percentage2,GENDER:,MALE,FEMALE,AGE GROUP OF LISTENERS:,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,SOCIAL CLASS:,UPPER CLASS,UPPER MIDDLE CLASS,LOWER MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE,MARITAL STATUS:,MARRIED,SINGLE,OTHERS,LITERACY LEVEL(EDUCATION):,PRIMARY ORLOWER,HIGH/SECONDARY SCHOOL,DIPLOMA/NCE,"---DEGREE, HND OR HIGHER",AUDIENCE INCOME (PERSONAL):,"N30,000 OR LESS  _  _","N30,000 to N50,000  _  _","N50,000 to N100,000  _  _","N100,000 to N200,000   _","N200,000 to N500,000   _","N500,000   and above __    _",---Don't Know/Refused,RELIGION:,CHRISTIANITY,ISLAM,OTHERS_2,AUDIENCE OCCUPATION:,WORKING,SELF -MPLOYED,STUDENT/APPRENTICE,RETIRED/ FULL HOUSEWIFE,UNEMPLOYED,PROGRAMME WITH HIGHEST AUDIENCE:,Program Name (Highest),Percentage_3,Program Name (Second),Percentage_4,TIME:,Main peak period,Percentage_5,Subsidiary peak period,Percentage_6
Cross River 89.7 FM -2 Ikom,Radio,457164,SOUTH SOUTH,Cross Rivers,Cross Rivers,100%,,,,67%,33%,,25%,11%,30%,31%,3%,,11%,37%,37%,7%,8%,,6%,94%,0%,,1%,35%,36%,28%,,2%,4%,6%,6%,4%,8%,70%,,100%,0%,0%,,26%,19%,55%,0%,0%,,Musicals,45%,News,41%,,06:00 - 09:00 am,33%,12:00 - 03:00 pm,27%
Hit 95.9 FM Calabar,Radio,834767,SOUTH SOUTH,Cross Rivers,Cross Rivers,100%,,,,53%,47%,,7%,3%,58%,28%,5%,,10%,15%,35%,16%,24%,,12%,82%,6%,,0%,33%,42%,25%,,13%,18%,11%,5%,22%,3%,28%,,100%,0%,0%,,34%,34%,28%,0%,4%,,Musicals,49%,News,31%,,06:00 - 09:00 am,44%,12:00 - 03:00 pm,27%
Canaan City 99.5 FM,Radio,276057,SOUTH SOUTH,Cross Rivers,Cross Rivers,98%,Akwa-Ibom,2%,,27%,73%,,15%,7%,47%,22%,9%,,9%,19%,23%,27%,22%,,5%,95%,0%,,2%,29%,47%,22%,,23%,11%,12%,0%,31%,3%,20%,,98%,2%,0%,,17%,27%,56%,0%,0%,,News,34%,Musicals,31%,,12:00 - 03:00 pm,46%,8,37%
UniUyo 100.7FM Uyo,Radio,209864,SOUTH SOUTH,Cross Rivers,Akwa-Ibom,39%,Cross Rivers,61%,,52%,48%,,8%,9%,54%,21%,9%,,19%,14%,30%,31%,6%,,21%,79%,0%,,0%,36%,43%,21%,,19%,0%,18%,12%,19%,0%,32%,,97%,3%,0%,,24%,17%,59%,0%,0%,,Musicals,51%,News,25%,,12:00 - 03:00 pm,43%,06:00 - 09:00 am,24%
Comfort 95.1 FM Uyo,Radio,1225781,SOUTH SOUTH,Akwa-Ibom,Akwa-Ibom,100%,,,,65%,35%,,13%,12%,48%,19%,8%,,8%,11%,26%,45%,10%,,24%,66%,10%,,13%,39%,20%,28%,,14%,2%,34%,11%,9%,2%,28%,,98%,1%,1%,,17%,26%,49%,2%,6%,,Musicals,29%,News,21%,,06:00 - 09:00 pm,36%,03:00 - 06:00 pm,27%
AKBC-2 90.5 FM Uyo,Radio,233315,SOUTH SOUTH,Akwa-Ibom,Akwa-Ibom,100%,,,,64%,36%,,16%,18%,38%,20%,8%,,3%,9%,29%,47%,12%,,31%,57%,12%,,14%,29%,14%,43%,,12%,3%,37%,6%,0%,0%,42%,,100%,0%,0%,,19%,21%,55%,5%,0%,,Religious Programme,31%,Sports,27%,,06:00 - 09:00 pm,47%,8,26%
Atlantic 104.5 FM Uyo,Radio,724077,SOUTH SOUTH,Akwa-Ibom,Akwa-Ibom,97%,Cross Rivers,3%,,63%,37%,,29%,12%,35%,16%,9%,,16%,9%,20%,44%,11%,,32%,58%,10%,,31%,38%,10%,21%,,17%,11%,34%,6%,11%,2%,19%,,99%,1%,0%,,13%,23%,55%,3%,6%,,Musicals,30%,Talk Show,15%,,09:00 - 12:00 noon,29%,03:00 - 06:00 pm,22%
Planet Radio 101.1 FM,Radio,672590,SOUTH SOUTH,Akwa-Ibom,Akwa-Ibom,94%,Cross Rivers,6%,,60%,40%,,17%,11%,49%,19%,6%,,5%,6%,28%,48%,13%,,20%,69%,11%,,14%,44%,20%,22%,,15%,2%,35%,9%,3%,0%,36%,,98%,0%,2%,,16%,21%,53%,4%,6%,,Religious Programme,30%,News,19%,,06:00 - 09:00 pm,37%,03:00 - 06:00 pm,24%
Inspiration 105.9 FM Uyo,Radio,1177978,SOUTH SOUTH,Akwa-Ibom,Akwa-Ibom,96%,Cross Rivers,4%,,63%,37%,,16%,16%,40%,19%,9%,,9%,8%,26%,44%,13%,,30%,64%,6%,,17%,40%,21%,22%,,24%,4%,34%,8%,5%,2%,23%,,98%,2%,0%,,18%,19%,55%,4%,4%,,Religious Programme,22%,Musicals,19%,,06:00 - 09:00 pm,45%,06:00 - 09:00 am,22%
Radio Rivers II 99.1 FM P/H,Radio,44097,SOUTH SOUTH,Rivers,Rivers,100%,,,,51%,49%,,19%,6%,38%,38%,0%,,0%,25%,25%,50%,0%,,34%,34%,32%,,50%,50%,0%,0%,,0%,34%,66%,0%,0%,0%,0%,,100%,0%,0%,,25%,50%,25%,0%,0%,,News,50%,Musicals,50%,,09:00 - 12:00 noon,50%,12:00 - 03:00 pm,25%
Rhythm 93.7 FM P/H,Radio,480449,SOUTH SOUTH,Rivers,Rivers,91%,Imo,9%,,32%,68%,,4%,7%,36%,46%,7%,,19%,28%,36%,8%,9%,,35%,63%,2%,,5%,24%,29%,42%,,2%,9%,65%,2%,6%,5%,11%,,98%,2%,0%,,44%,49%,7%,0%,0%,,Musicals,27%,Musicals,27%,,06:00 - 09:00 am,31%,03:00 - 06:00 pm,30%
RayPower II 106.5 FM P/H,Radio,376006,SOUTH SOUTH,Rivers,Rivers,91%,Imo,9%,,52%,48%,,1%,4%,40%,47%,8%,,18%,29%,25%,17%,11%,,35%,65%,0%,,6%,24%,18%,52%,,2%,3%,69%,9%,14%,0%,3%,,100%,0%,0%,,52%,41%,7%,0%,0%,,Talk Show,42%,Musicals,37%,,06:00 - 09:00 pm,35%,09:00 - 12:00 noon,26%
Treasure 98.5 FM P/H,Radio,265197,SOUTH SOUTH,Rivers,Rivers,100%,,,,59%,41%,,6%,6%,36%,40%,12%,,17%,21%,33%,21%,8%,,9%,91%,0%,,8%,25%,38%,29%,,4%,18%,54%,5%,19%,0%,0%,,100%,0%,0%,,42%,50%,8%,0%,0%,,Musicals,36%,News,32%,,03:00 - 06:00 pm,27%,12:00 - 03:00 pm,23%
Family Love 97.7 FM P/H,Radio,653551,SOUTH SOUTH,Rivers,Rivers,96%,Imo,4%,,46%,54%,,5%,5%,38%,39%,14%,,15%,18%,44%,13%,10%,,37%,61%,2%,,3%,23%,34%,40%,,0%,9%,67%,6%,12%,4%,2%,,98%,2%,0%,,42%,44%,12%,0%,2%,,Talk Show,37%,News,29%,,06:00 - 09:00 pm,37%,03:00 - 06:00 pm,21%
Cool 95.9 FM P/H,Radio,632613,SOUTH SOUTH,Rivers,Rivers,94%,Imo,6%,,63%,37%,,9%,10%,34%,39%,9%,,17%,34%,28%,14%,7%,,33%,65%,2%,,3%,33%,40%,24%,,6%,4%,72%,5%,6%,0%,7%,,100%,0%,0%,,45%,41%,14%,0%,0%,,Talk Show,32%,Musicals,26%,,12:00 - 03:00 pm,37%,03:00 - 06:00 pm,21%
Wazobia 94.1 FM P/H,Radio,1094155,SOUTH SOUTH,Rivers,Rivers,97%,Imo,3%,,60%,40%,,3%,4%,37%,43%,13%,,10%,32%,35%,15%,8%,,23%,77%,0%,,4%,22%,36%,38%,,4%,7%,73%,4%,7%,0%,5%,,96%,3%,1%,,52%,40%,8%,0%,0%,,Talk Show,30%,News,27%,,06:00 - 09:00 pm,32%,12:00 - 03:00 pm,21%
Garden City 89.9 FM P/H,Radio,158235,SOUTH SOUTH,Rivers,Rivers,83%,Imo,17%,,47%,53%,,4%,14%,41%,28%,14%,,13%,21%,52%,14%,0%,,19%,81%,0%,,0%,25%,75%,0%,,0%,7%,59%,12%,14%,0%,8%,,100%,0%,0%,,41%,46%,13%,0%,0%,,Talk Show,49%,Musicals,31%,,12:00 - 03:00 pm,57%,03:00 - 06:00 pm,34%
Nigerian Info 92.3 FM,Radio,520957,SOUTH SOUTH,Rivers,Rivers,97%,Imo,3%,,36%,64%,,6%,10%,39%,39%,6%,,10%,27%,32%,21%,10%,,31%,65%,4%,,4%,29%,29%,38%,,4%,4%,76%,9%,0%,2%,5%,,98%,2%,0%,,48%,41%,11%,0%,0%,,Talk Show,43%,News,30%,,03:00 - 06:00 pm,27%,06:00 - 09:00 pm,22%
Today 95.1 FM PH,Radio,176695,SOUTH SOUTH,Rivers,Rivers,100%,,,,57%,43%,,5%,14%,31%,38%,14%,,12%,31%,38%,19%,0%,,27%,73%,0%,,6%,13%,25%,56%,,7%,13%,60%,0%,13%,7%,0%,,87%,13%,0%,,44%,37%,19%,0%,0%,,Talk Show,35%,Musicals,29%,,12:00 - 03:00 pm,36%,06:00 - 09:00 pm,28%
Wave91.7FM PH,Radio,373278,SOUTH SOUTH,Rivers,Rivers,100%,,,,36%,64%,,2%,6%,34%,49%,9%,,9%,32%,44%,15%,0%,,39%,61%,0%,,6%,21%,36%,37%,,9%,6%,63%,6%,9%,0%,7%,,94%,6%,0%,,53%,38%,9%,0%,0%,,Musicals,38%,News,28%,,03:00 - 06:00 pm,28%,06:00 - 09:00 am,28%
Classic 91.1 FM PH,Radio,407739,SOUTH SOUTH,Rivers,Rivers,100%,,,,49%,51%,,12%,7%,38%,30%,14%,,11%,24%,49%,8%,8%,,45%,55%,0%,,3%,41%,40%,16%,,0%,13%,81%,0%,0%,0%,6%,,92%,8%,0%,,35%,48%,16%,0%,1%,,Talk Show,53%,News,38%,,06:00 - 09:00 pm,35%,06:00 - 09:00 am,32%
BCA 88.1 FM Umuahia,Radio,517062,SOUTH EAST,Abia,Abia,100%,,,,40%,60%,,13%,7%,35%,26%,20%,,2%,13%,21%,29%,35%,,63%,37%,0%,,12%,35%,10%,43%,,24%,1%,23%,8%,1%,3%,40%,,92%,8%,0%,,37%,17%,38%,2%,6%,,News,47%,Musicals,24%,,06:00 - 09:00 am,48%,22,6%
Vision Africa 104.1 FM Umuahia,Radio,175224,SOUTH EAST,Abia,Abia,100%,,,,59%,41%,,9%,4%,44%,37%,7%,,3%,10%,21%,24%,42%,,64%,36%,0%,,7%,52%,7%,34%,,20%,4%,4%,8%,4%,0%,60%,,97%,3%,0%,,34%,10%,48%,3%,5%,,News,42%,Sports,29%,,06:00 - 09:00 am,57%,12:00 - 03:00 pm,17%
Pacesetter 103.5 FM Umuahia,Radio,211240,SOUTH EAST,Abia,Abia,100%,,,,55%,45%,,5%,5%,23%,43%,26%,,3%,26%,31%,20%,20%,,66%,34%,0%,,3%,34%,14%,49%,,12%,3%,24%,12%,3%,3%,43%,,89%,11%,0%,,45%,20%,14%,12%,9%,,News,85%,Sports,12%,,06:00 - 09:00 am,82%,03:00 - 06:00 pm,18%
Magic 102.9 FM Aba,Radio,899921,SOUTH EAST,Abia,Abia,100%,,,,58%,42%,,14%,8%,32%,23%,24%,,4%,12%,17%,33%,34%,,61%,39%,0%,,6%,44%,17%,33%,,21%,0%,28%,6%,5%,1%,39%,,93%,7%,0%,,38%,15%,38%,6%,3%,,News,51%,Musicals,19%,,06:00 - 09:00 am,47%,03:00 - 06:00 pm,21%
Family Love 103.9 FM Umuahia,Radio,283271,SOUTH EAST,Abia,Abia,100%,,,,50%,50%,,10%,5%,38%,32%,15%,,2%,25%,11%,36%,26%,,58%,42%,0%,,4%,43%,17%,36%,,14%,0%,22%,2%,14%,2%,46%,,96%,4%,0%,,43%,10%,38%,2%,7%,,News,58%,Musicals,15%,,06:00 - 09:00 am,50%,03:00 - 06:00 pm,31%
Rhema 93.3 FM Aba,Radio,355459,SOUTH EAST,Abia,Abia,100%,,,,48%,52%,,17%,8%,37%,26%,14%,,5%,15%,26%,27%,27%,,63%,37%,0%,,5%,49%,14%,32%,,11%,0%,24%,2%,2%,2%,59%,,93%,7%,0%,,41%,10%,42%,3%,4%,,News,60%,Political,15%,,06:00 - 09:00 am,60%,09:00 - 12:00 noon,14%
FLO 94.9 FM Umuahia,Radio,343715,SOUTH EAST,Abia,Abia,100%,,,,52%,48%,,9%,8%,39%,25%,20%,,4%,5%,25%,37%,29%,,52%,48%,0%,,4%,49%,19%,28%,,26%,0%,30%,2%,2%,2%,38%,,88%,12%,0%,,42%,4%,40%,4%,10%,,News,47%,Musicals,28%,,06:00 - 09:00 am,49%,09:00 - 12:00 noon,16%
ABS 88.5 FM Awka,Radio,213640,SOUTH EAST,Anambra,Anambra,91%,Ebonyi,9%,,50%,50%,,14%,13%,62%,5%,6%,,30%,14%,40%,12%,4%,,43%,57%,0%,,27%,46%,16%,11%,,5%,0%,21%,59%,15%,0%,0%,,79%,21%,0%,,17%,31%,42%,0%,10%,,Talk Show,41%,News,29%,,09:00 - 12:00 noon,47%,06:00 - 09:00 pm,27%
Purity 102.5 FM Awka,Radio,214659,SOUTH EAST,Anambra,Anambra,83%,Ebonyi,17%,,50%,50%,,3%,5%,76%,15%,2%,,41%,16%,4%,29%,10%,,21%,74%,5%,,0%,42%,28%,30%,,6%,6%,14%,38%,28%,4%,4%,,96%,4%,0%,,16%,30%,37%,0%,17%,,Talk Show,51%,Sports,23%,,09:00 - 12:00 noon,45%,06:00 - 09:00 pm,29%
Madonna Radio 93.3 FM Okija,Radio,469638,SOUTH EAST,Anambra,Anambra,100%,,,,47%,53%,,5%,12%,78%,6%,0%,,17%,25%,29%,14%,15%,,16%,82%,2%,,19%,59%,18%,4%,,8%,2%,14%,51%,22%,0%,3%,,87%,11%,2%,,14%,33%,44%,0%,9%,,News,35%,Talk Show,28%,,09:00 - 12:00 noon,39%,03:00 - 06:00 pm,14%
Blaze FM 91.5 FM Oraifite,Radio,904426,SOUTH EAST,Anambra,Anambra,100%,,,,48%,52%,,9%,12%,73%,5%,1%,,15%,20%,31%,21%,13%,,12%,88%,0%,,13%,62%,17%,8%,,4%,9%,19%,44%,22%,0%,2%,,90%,9%,1%,,13%,29%,51%,0%,7%,,Talk Show,31%,Sports,30%,,09:00 - 12:00 noon,32%,03:00 - 06:00 am,26%
City Radio 89.7FM GRA Onitsha,Radio,186443,SOUTH EAST,Anambra,Anambra,100%,,,,50%,50%,,4%,1%,76%,14%,5%,,12%,14%,32%,23%,19%,,24%,76%,0%,,0%,44%,42%,14%,,0%,0%,14%,61%,25%,0%,0%,,95%,5%,0%,,20%,37%,24%,0%,19%,,Talk Show,73%,News,23%,,09:00 - 12:00 noon,72%,06:00 - 09:00 pm,22%
Sapiensia Radio 95.3 FM Onitsha,Radio,1076012,SOUTH EAST,Anambra,Anambra,100%,,,,52%,48%,,3%,7%,79%,8%,4%,,16%,23%,29%,15%,17%,,15%,84%,1%,,13%,53%,21%,13%,,7%,6%,17%,49%,19%,0%,2%,,93%,6%,1%,,11%,32%,49%,0%,8%,,Talk Show,35%,Sports,34%,,09:00 - 12:00 noon,32%,03:00 - 06:00 pm,24%
Odenigbo 99.1 FM Obosi,Radio,266871,SOUTH EAST,Anambra,Anambra,100%,,,,52%,48%,,8%,10%,72%,2%,10%,,17%,27%,26%,13%,17%,,11%,89%,0%,,10%,77%,10%,3%,,7%,12%,18%,45%,18%,0%,0%,,90%,10%,0%,,14%,26%,53%,0%,7%,,Sports,32%,Talk Show,28%,,03:00 - 06:00 am,39%,09:00 - 12:00 noon,24%
Unizik 94.1 FM Awka,Radio,91498,SOUTH EAST,Anambra,Anambra,79%,Ebonyi,21%,,81%,19%,,11%,13%,68%,8%,1%,,5%,34%,41%,10%,10%,,21%,71%,8%,,24%,61%,9%,6%,,12%,0%,23%,41%,18%,6%,0%,,91%,9%,0%,,25%,14%,61%,0%,0%,,News,48%,Sports,40%,,09:00 - 12:00 noon,40%,8,27%
Radio Nigeria (SW) Enugu,Radio,688783,SOUTH EAST,Enugu,Enugu,100%,,,,54%,46%,,13%,6%,48%,30%,4%,,2%,13%,59%,21%,5%,,34%,66%,0%,,41%,5%,46%,8%,,23%,40%,25%,6%,0%,1%,5%,,89%,11%,0%,,47%,20%,32%,1%,0%,,Sports,26%,Comedy,20%,,06:00 - 09:00 am,28%,09:00 - 12:00 - 03:00 am2 noon,20%
Coal City 92.9 FM Enugu,Radio,645118,SOUTH EAST,Enugu,Enugu,100%,,,,45%,55%,,15%,10%,43%,30%,2%,,3%,10%,59%,25%,3%,,28%,72%,0%,,45%,6%,39%,10%,,15%,39%,23%,9%,4%,3%,7%,,95%,5%,0%,,40%,14%,45%,1%,0%,,Drama,23%,Comedy,16%,,06:00 - 09:00 am,32%,09:00 - 12:00 - 03:00 am2 noon,20%
Solid 100.9 FM Enugu,Radio,558117,SOUTH EAST,Enugu,Enugu,100%,,,,54%,46%,,14%,10%,39%,36%,2%,,1%,11%,53%,33%,2%,,28%,72%,0%,,43%,4%,46%,7%,,22%,42%,24%,8%,0%,1%,3%,,96%,4%,0%,,46%,17%,37%,0%,0%,,Sports,20%,News,18%,,8,31%,06:00 - 09:00 pm,23%
Dream 92.5 FM Enugu,Radio,522218,SOUTH EAST,Enugu,Enugu,100%,,,,41%,59%,,8%,6%,49%,37%,1%,,3%,12%,52%,29%,4%,,26%,74%,0%,,32%,5%,54%,9%,,25%,35%,29%,7%,2%,0%,2%,,97%,3%,0%,,58%,14%,28%,0%,0%,,News,24%,Sports,22%,,8,41%,06:00 - 09:00 am,24%
Caritas 98.7 FM Amorji-Nike/CU,Radio,326723,SOUTH EAST,Enugu,Enugu,100%,,,,43%,57%,,7%,6%,46%,37%,5%,,0%,11%,56%,22%,11%,,28%,72%,0%,,30%,10%,50%,10%,,11%,35%,35%,11%,2%,0%,6%,,96%,4%,0%,,51%,17%,32%,0%,0%,,Sports,29%,Comedy,9%,,06:00 - 09:00 am,47%,06:00 - 09:00 pm,36%
Correct 102.9FM Enugu,Radio,186039,SOUTH EAST,Enugu,Enugu,100%,,,,54%,46%,,17%,13%,36%,24%,11%,,8%,22%,44%,19%,7%,,29%,71%,0%,,45%,8%,36%,11%,,15%,40%,20%,15%,0%,5%,5%,,96%,4%,0%,,39%,7%,50%,4%,0%,,Sports,27%,News,13%,,03:00 - 06:00 pm,43%,8,25%
Urban Radio 94.5 Enugu,Radio,173322,SOUTH EAST,Enugu,Enugu,100%,,,,46%,54%,,12%,8%,47%,30%,4%,,0%,19%,35%,42%,4%,,23%,77%,0%,,41%,8%,47%,4%,,15%,33%,43%,5%,0%,0%,4%,,100%,0%,0%,,50%,0%,50%,0%,0%,,Musicals,27%,News,16%,,06:00 - 09:00 am,31%,8,24%
SOUNDCITY 91.1FM ENUGU,Radio,157226,SOUTH EAST,Enugu,Enugu,100%,,,,63%,37%,,17%,11%,33%,24%,17%,,9%,13%,21%,44%,13%,,22%,78%,0%,,35%,0%,38%,27%,,21%,28%,33%,5%,6%,0%,7%,,96%,4%,0%,,51%,0%,49%,0%,0%,,Sports,17%,News,17%,,06:00 - 09:00 am,25%,03:00 - 06:00 pm,25%
Voice 96.7 FM Nsukka,Radio,154528,SOUTH EAST,Enugu,Enugu,100%,,,,30%,70%,,21%,7%,41%,32%,0%,,5%,0%,31%,64%,0%,,6%,94%,0%,,69%,4%,27%,0%,,31%,38%,30%,0%,0%,0%,1%,,95%,5%,0%,,30%,5%,65%,0%,0%,,News,29%,Sports,20%,,06:00 - 09:00 am,44%,03:00 - 06:00 am,29%
ESBC 96.1 FM Enugu (Sunrise),Radio,152839,SOUTH EAST,Enugu,Enugu,100%,,,,43%,57%,,14%,10%,44%,25%,8%,,0%,14%,67%,19%,0%,,33%,67%,0%,,40%,5%,50%,5%,,12%,40%,32%,11%,0%,0%,5%,,91%,9%,0%,,45%,18%,37%,0%,0%,,Musicals,22%,Sports,22%,,06:00 - 09:00 am,39%,8,16%
Family Love 99.9FM Enugu,Radio,89136,SOUTH EAST,Enugu,Enugu,100%,,,,60%,40%,,12%,12%,38%,23%,15%,,15%,23%,46%,8%,8%,,28%,72%,0%,,31%,16%,38%,15%,,9%,27%,36%,9%,10%,9%,0%,,93%,7%,0%,,37%,8%,55%,0%,0%,,Reality Tales,19%,Sports,18%,,09:00 - 12:00 noon,51%,06:00 - 09:00 am,32%
Ajasonic 102.8 FM Enugu,Radio,75856,SOUTH EAST,Enugu,Enugu,100%,,,,53%,47%,,7%,2%,50%,41%,0%,,0%,0%,72%,28%,0%,,19%,81%,0%,,28%,9%,63%,0%,,20%,49%,21%,10%,0%,0%,0%,,91%,9%,0%,,54%,28%,18%,0%,0%,,Sports,35%,News,11%,,06:00 - 09:00 am,51%,06:00 - 09:00 pm,24%
Lion 91.1 FM Nsukka,Radio,69779,SOUTH EAST,Enugu,Enugu,100%,,,,38%,62%,,8%,3%,55%,35%,0%,,6%,15%,49%,30%,0%,,12%,88%,0%,,20%,10%,60%,10%,,23%,30%,23%,12%,12%,0%,0%,,100%,0%,0%,,50%,0%,50%,0%,0%,,News,30%,Reality Tales,15%,,8,50%,09:00 - 12:00 noon,25%
ESUT 106.5 FM Enugu,Radio,41530,SOUTH EAST,Enugu,Enugu,100%,,,,48%,52%,,0%,0%,51%,50%,0%,,0%,0%,68%,32%,0%,,52%,48%,0%,,35%,17%,48%,0%,,32%,35%,16%,17%,0%,0%,0%,,100%,0%,0%,,65%,35%,0%,0%,0%,,Drama,35%,News,32%,,8,65%,06:00 - 09:00 am,35%
GO. UNI 106.9 FM Enugu,Radio,36016,SOUTH EAST,Enugu,Enugu,100%,,,,0%,100%,,15%,5%,40%,40%,0%,,0%,0%,20%,60%,20%,,25%,75%,0%,,40%,0%,40%,20%,,25%,75%,0%,0%,0%,0%,0%,,100%,0%,0%,,60%,0%,40%,0%,0%,,Sports,33%,News,33%,,8,50%,06:00 - 09:00 am,50%
EBBS Salt 98.1 FM Abakaliki,Radio,36154,SOUTH EAST,Ebonyi,Ebonyi,100%,,,,0%,100%,,38%,63%,0%,0%,0%,,0%,0%,12%,0%,88%,,50%,50%,0%,,0%,100%,0%,0%,,88%,0%,0%,12%,0%,0%,0%,,100%,0%,0%,,50%,0%,50%,0%,0%,,News,38%,Musicals,23%,,03:00 - 06:00 pm,34%,03:00 - 06:00 pm,21%
Unity 101.5 FM Abakiliki,Radio,36154,SOUTH EAST,Ebonyi,Ebonyi,100%,,,,0%,100%,,0%,100%,0%,0%,0%,,0%,0%,50%,0%,50%,,50%,50%,0%,,0%,100%,0%,0%,,50%,0%,50%,0%,0%,0%,0%,,100%,0%,0%,,50%,0%,50%,0%,0%,,News,40%,Musicals,26%,,12:00 - 03:00 pm,34%,03:00 - 06:00 pm,24%
Darling 107.3FM Owerri,Radio,856100,SOUTH EAST,Imo,Imo,100%,,,,44%,56%,,3%,2%,49%,39%,7%,,5%,30%,42%,21%,2%,,56%,43%,1%,,35%,25%,38%,2%,,7%,0%,22%,30%,6%,1%,34%,,96%,4%,0%,,14%,62%,13%,7%,4%,,News,66%,Talk Show,55%,,06:00 - 09:00 am,54%,03:00 - 06:00 pm,46%
Heartland 100.5 FM Owerri,Radio,706967,SOUTH EAST,Imo,Imo,100%,,,,53%,47%,,38%,27%,30%,4%,2%,,6%,26%,29%,37%,2%,,8%,92%,0%,,83%,11%,6%,0%,,4%,0%,43%,12%,5%,0%,36%,,100%,0%,0%,,7%,13%,80%,0%,0%,,News,46%,Musicals,35%,,06:00 - 09:00 am,100%,09:00 - 12 midnight,
Hot FM 99.5 Owerri,Radio,597890,SOUTH EAST,Imo,Imo,100%,,,,46%,54%,,1%,2%,93%,4%,1%,,6%,23%,42%,28%,1%,,6%,94%,0%,,50%,37%,5%,8%,,5%,3%,31%,11%,21%,0%,29%,,100%,0%,0%,,4%,15%,73%,0%,8%,,News,60%,Musicals,54%,,06:00 - 09:00 pm,100%,09:00 - 12:00 noon,100%
MyRadio 100.9 FM Owerri,Radio,566766,SOUTH EAST,Imo,Imo,100%,,,,58%,42%,,7%,5%,38%,37%,13%,,8%,16%,63%,11%,2%,,31%,68%,1%,,38%,27%,32%,3%,,4%,0%,20%,9%,6%,3%,58%,,97%,3%,0%,,20%,45%,20%,7%,8%,,News,73%,Talk Show,53%,,06:00 - 09:00 pm,42%,03:00 - 06:00 pm,42%
Reach 104.9FM Owerri,Radio,559998,SOUTH EAST,Imo,Imo,100%,,,,51%,49%,,2%,4%,33%,21%,41%,,9%,22%,31%,33%,5%,,63%,33%,4%,,45%,23%,31%,1%,,6%,10%,25%,10%,8%,1%,40%,,96%,3%,1%,,6%,72%,17%,2%,3%,,News,61%,Talk Show,39%,,06:00 - 09:00 am,56%,09:00 - 12:00 noon,44%
Orient 94.4 FM Owerri,Radio,377844,SOUTH EAST,Imo,Imo,100%,,,,58%,42%,,41%,19%,18%,13%,9%,,4%,40%,16%,35%,5%,,36%,59%,5%,,77%,16%,6%,1%,,8%,6%,48%,5%,0%,5%,28%,,98%,2%,0%,,7%,26%,66%,2%,0%,,Musicals,37%,News,32%,,06:00 - 09:00 am,100%,09:00 - 12 midnight,
Zanda 105.7 FM Owerri,Radio,278241,SOUTH EAST,Imo,Imo,100%,,,,66%,34%,,14%,11%,54%,15%,7%,,6%,25%,28%,34%,7%,,19%,77%,4%,,56%,22%,22%,0%,,6%,8%,44%,11%,7%,0%,24%,,100%,0%,0%,,10%,37%,50%,3%,0%,,News,60%,Musicals,37%,,06:00 - 09:00 am,51%,12:00 - 03:00 pm,51%
Gold 92.5FM Owerri,Radio,234935,SOUTH EAST,Imo,Imo,100%,,,,67%,33%,,7%,18%,36%,28%,12%,,8%,17%,37%,30%,8%,,20%,71%,9%,,48%,23%,29%,0%,,6%,4%,46%,7%,8%,0%,29%,,97%,3%,0%,,11%,54%,32%,3%,0%,,News,59%,Talk Show,36%,,12:00 - 03:00 pm,85%,06:00 - 09:00 am,65%
Megaband 97.3 FM Owerri,Radio,166728,SOUTH EAST,Imo,Imo,100%,,,,72%,28%,,10%,15%,48%,28%,0%,,6%,16%,25%,31%,22%,,24%,76%,0%,,62%,10%,23%,5%,,4%,13%,30%,6%,6%,0%,41%,,100%,0%,0%,,28%,30%,37%,5%,0%,,News,52%,Musicals,45%,,06:00 - 09:00 am,52%,8,26%
NTA Dutse,TV,4658748,NORTH WEST,,Jigawa,100%,,,,64%,36%,,14%,9%,33%,38%,8%,,7%,6%,8%,62%,18%,,75%,23%,2%,,37%,46%,11%,7%,,52%,20%,16%,6%,4%,2%,0%,,2%,98%,,,16%,34%,29%,18%,2%,,Musicals,,,100%,,,,,
NTA Zaria,TV,799291,NORTH WEST,,Kaduna,100%,,,,54%,46%,,10%,5%,35%,50%,2%,,4%,43%,21%,11%,22%,,69%,27%,4%,,15%,28%,42%,15%,,4%,4%,35%,6%,9%,0%,43%,,60%,40%,,,11%,56%,19%,14%,0%,,Politics,,,100%,,,,,
DITV Kaduna,TV,1421242,NORTH WEST,,Kaduna,100%,,,,54%,46%,,10%,4%,34%,48%,4%,,12%,27%,25%,19%,16%,,69%,31%,0%,,24%,17%,38%,22%,,2%,5%,27%,4%,6%,5%,51%,,45%,55%,,,21%,47%,15%,17%,0%,,News,,Politics,64%,,06:00 - 09:00 pm,21%,09:00 - 12:00 noon,46%
