MEDIA OUTLET,MEDIA TYPE,ESTIMATED AUDIENCE SIZE,REGION,STATE,Main State,Percentage,Other Key States,Percentage2,GENDER:,MALE,FEMALE,AGE GROUP OF LISTENERS:,Children (7 - 12),Teens (13 - 17),Youth/Young Adults (18 - 29),Middle Aged Adults (30 - 44),Older Adults,SOCIAL CLASS:,UPPER CLASS,UPPER MIDDLE CLASS,LOWER MIDDLE CLASS,LOWER CLASS,BELOW SUBSISTENCE,MARITAL STATUS:,MARRIED,SINGLE,OTHERS,LITERACY LEVEL(EDUCATION):,PRIMARY ORLOWER,HIGH/SECONDARY SCHOOL,DIPLOMA/NCE,"---DEGREE, HND OR HIGHER",AUDIENCE INCOME (PERSONAL):,"N30,000 OR LESS  _  _","N30,000 to N50,000  _  _","N50,000 to N100,000  _  _","N100,000 to N200,000   _","N200,000 to N500,000   _","N500,000   and above __    _",---Don't Know/Refused,RELIGION:,CHRISTIANITY,ISLAM,OTHERS_2,AUDIENCE OCCUPATION:,WORKING,SELF -MPLOYED,STUDENT/APPRENTICE,RETIRED/ FULL HOUSEWIFE,UNEMPLOYED,PROGRAMME WITH HIGHEST AUDIENCE:,Program Name (Highest),Percentage_3,Program Name (Second),Percentage_4,TIME:,Main peak period,Percentage_5,Subsidiary peak period,Percentage_6
Premier 93.5FM Ibadan,Radio,320908,SOUTH WEST,Oyo,Oyo,100%,,,,48%,52%,,14%,9%,37%,26%,14%,,19%,22%,33%,26%,0%,,41%,55%,4%,,11%,67%,7%,15%,,10%,25%,14%,27%,19%,0%,5%,,52%,48%,0%,,40%,4%,52%,4%,0%,,News,60%,Sports,32%,,06:00 - 09:00 am,33%,09:00 - 12:00 noon,29%
Diamond 101.1FM Ibadan,Radio,47544,SOUTH WEST,Oyo,Oyo,100%,,,,50%,50%,,0%,0%,50%,50%,0%,,0%,25%,50%,25%,0%,,50%,50%,0%,,0%,50%,0%,50%,,25%,50%,0%,25%,0%,0%,0%,,50%,50%,0%,,0%,100%,0%,0%,0%,,News,50%,Sports,25%,,06:00 - 09:00 pm,50%,06:00 - 09:00 am,25%
Splash 105.5FM Ibadan,Radio,1000561,SOUTH WEST,Oyo,Oyo,99%,Lagos,1%,,49%,51%,,24%,13%,35%,23%,6%,,6%,14%,34%,44%,2%,,33%,65%,2%,,20%,56%,18%,6%,,30%,14%,22%,25%,4%,2%,3%,,44%,56%,0%,,9%,9%,79%,3%,0%,,News,66%,Musicals,50%,,09:00 - 12:00 noon,29%,06:00 - 09:00 pm,27%
Amuludun 99.1FM Ibadan,Radio,546561,SOUTH WEST,Oyo,Oyo,100%,,,,37%,63%,,25%,15%,27%,23%,10%,,4%,22%,35%,33%,6%,,55%,39%,6%,,22%,52%,13%,13%,,32%,24%,9%,19%,3%,0%,13%,,50%,50%,0%,,5%,20%,73%,2%,0%,,News,49%,Musicals,42%,,06:00 - 09:00 pm,27%,06:00 - 09:00 am,24%
Star 91.5FM Ibadan,Radio,130697,SOUTH WEST,Oyo,Oyo,100%,,,,36%,64%,,14%,5%,41%,23%,19%,,9%,27%,55%,0%,9%,,56%,33%,11%,,27%,36%,19%,18%,,11%,22%,11%,44%,11%,,1%,,18%,82%,0%,,18%,32%,50%,0%,0%,,News,40%,Religious Programme,30%,,12:00 - 03:00 pm,40%,06:00 - 09:00 pm,20%
Space 90.1FM Ibadan,Radio,249658,SOUTH WEST,Oyo,Oyo,100%,,,,57%,43%,,14%,10%,45%,21%,10%,,5%,10%,48%,33%,4%,,35%,65%,0%,,10%,57%,24%,9%,,24%,30%,30%,11%,5%,0%,0%,,38%,62%,0%,,0%,15%,85%,0%,0%,,News,52%,Musicals,33%,,06:00 - 09:00 am,43%,03:00 - 06:00 pm,29%
Beat 97.9FM Ibadan,Radio,213950,SOUTH WEST,Oyo,Oyo,100%,,,,50%,50%,,12%,9%,31%,36%,12%,,11%,39%,28%,11%,11%,,53%,47%,0%,,11%,50%,6%,33%,,20%,13%,13%,33%,14%,0%,7%,,61%,39%,0%,,21%,10%,69%,0%,0%,,News,59%,Sports,53%,,12:00 - 03:00 pm,41%,06:00 - 09:00 pm,35%
Naija 102.7FM Ibadan,Radio,178275,SOUTH WEST,Oyo,Oyo,100%,,,,47%,53%,,15%,11%,37%,23%,14%,,0%,27%,33%,33%,7%,,33%,67%,0%,,27%,47%,13%,13%,,33%,25%,8%,33%,0%,0%,1%,,40%,60%,0%,,26%,7%,67%,0%,0%,,News,79%,Musicals,43%,,06:00 - 09:00 am,36%,09:00 - 12:00 noon,36%
Ajilete 92.1FM Gambari-Asa,Radio,118861,SOUTH WEST,Oyo,Oyo,100%,,,,50%,50%,,15%,5%,30%,30%,20%,,0%,10%,40%,50%,0%,,62%,38%,0%,,20%,60%,10%,10%,,26%,50%,0%,24%,0%,0%,0%,,50%,50%,0%,,0%,35%,65%,0%,0%,,News,78%,Sports,44%,,09:00 - 12:00 noon,63%,06:00 - 09:00 am,63%
Oke-Ogun 96.3FM Alaga,Radio,23739,SOUTH WEST,Oyo,Oyo,100%,,,,0%,100%,,38%,63%,0%,0%,0%,,0%,50%,0%,50%,0%,,0%,100%,0%,,0%,100%,0%,0%,,0%,100%,0%,0%,0%,0%,0%,,50%,50%,0%,,0%,0%,100%,0%,0%,,Musicals,100%,News,50%,,06:00 - 09:00 pm,50%,09:00 - 12:00 noon,50%
